"","INSTNM","GRAD_DEBT_MDN"
"164","Southern Arkansas University Main Campus","18000"
"165","Southern Arkansas University Tech","5500"
"166","Velvatex College of Beauty Culture","PrivacySuppressed"
"167","University of Arkansas-Fort Smith","17782"
"168","Academy of Art University","31000"
"169","Academy of Chinese Culture and Health Sciences","PrivacySuppressed"
"170","Avalon School of Cosmetology-Alameda","6332"
"171","College of Alameda","PrivacySuppressed"
"172","Allan Hancock College","6478"
"173","American Academy of Dramatic Arts-Los Angeles","12000"
"174","Berkeley School of Theology","PrivacySuppressed"
"175","American Film Institute Conservatory","PrivacySuppressed"
"176","American Beauty College","5708"
"177","American Career College-Los Angeles","9500"
"178","American Conservatory Theater","PrivacySuppressed"
"179","American River College","11500"
"180","Antelope Valley College","11499"
"181","Art Center College of Design","31218"
"182","Associated Technical College-Los Angeles","9500"
"183","Associated Technical College-San Diego","9500"
"184","Azusa Pacific University","23350"
"185","Bakersfield College","12500"
"186","Barstow Community College","PrivacySuppressed"
"187","Bellus Academy-Chula Vista","12590"
"188","Bethesda University","20500"
"189","Biola University","24273"
"190","Brownson Technical School","9500"
"191","Bryan University","19723"
"192","Butte College","10000"
"193","California Institute of Integral Studies","18750"
"194","Cabrillo College","13665"
"195","California Baptist University","27000"
"196","California College of the Arts","27000"
"197","University of California-Hastings College of Law","PrivacySuppressed"
"198","California Institute of Technology","17747"
"199","California Lutheran University","21750"
"200","California Polytechnic State University-San Luis Obispo","19500"
"201","Alliant International University-San Diego","12500"
"202","California State University-Bakersfield","16248"
"203","California State University-Stanislaus","14146"
"204","California State University-San Bernardino","15000"
"205","California State Polytechnic University-Pomona","16500"
"206","California State University-Chico","16931"
"207","California State University-Dominguez Hills","14019"
"208","California State University-Fresno","14667"
"209","California State University-Fullerton","14000"
"210","California State University-East Bay","15500"
"211","California State University-Long Beach","14882"
"212","California State University-Los Angeles","13219"
"213","California State University-Northridge","14000"
"214","California State University-Sacramento","15000"
"215","University of California-Berkeley","13500"
"216","University of California-Davis","13199"
"217","University of California-Irvine","15060"
"218","University of California-Los Angeles","15000"
"219","University of California-Riverside","18000"
"220","University of California-San Diego","16500"
"221","University of California-San Francisco","PrivacySuppressed"
"222","University of California-Santa Barbara","14500"
"223","University of California-Santa Cruz","17484"
"224","Sofia University","PrivacySuppressed"
"225","California Beauty School","4836"
"226","California Christian College","PrivacySuppressed"
"227","Haven University","NULL"
"228","California Hair Design Academy","6333"
"229","California Institute of the Arts","26000"
"230","California State University Maritime Academy","25000"
"231","California Western School of Law","PrivacySuppressed"
"232","Canada College","18660"
"233","College of the Canyons","9714"
"234","Career Academy of Beauty","6333"
"235","Casa Loma College-Van Nuys","24528"
"236","CET-San Diego","6650"
"237","CET-San Jose","6650"
"238","CET-El Centro","6650"
"239","CET-Colton","6650"
"240","CET-Watsonville","6650"
"241","CET-Salinas","6650"
"242","Cerritos College","10500"
"243","Cerro Coso Community College","PrivacySuppressed"
"244","Chabot College","10000"
"245","Chaffey College","PrivacySuppressed"
"246","Chapman University","20500"
"247","Charles R Drew University of Medicine and Science","18750"
"248","Concordia University-Irvine","23949"
"249","San Diego Christian College","23000"
"250","Stockton Christian Life College","NULL"
"251","Church Divinity School of the Pacific","PrivacySuppressed"
"252","Citrus College","4750"
"253","Citrus Heights Beauty College","6768"
"254","City College of San Francisco","10500"
"255","Claremont Graduate University","PrivacySuppressed"
"256","Claremont McKenna College","15000"
"257","Milan Institute-Visalia","7917"
"258","Clovis Adult Education","PrivacySuppressed"
"259","Coastline Community College","8000"
"260","Cogswell University of Silicon Valley","31000"
"261","Coba Academy","6990"
"262","Western University of Health Sciences","PrivacySuppressed"
"263","Columbia College","PrivacySuppressed"
"264","Columbia College Hollywood","22333"
"265","Compton College","PrivacySuppressed"
"266","Contra Costa College","PrivacySuppressed"
"267","Cosumnes River College","10000"
"268","Crafton Hills College","PrivacySuppressed"
"269","Cuesta College","14000"
"270","Cuyamaca College","PrivacySuppressed"
"271","Cypress College","10500"
"272","De Anza College","6500"
"273","International School of Beauty Inc","6863"
"274","Dell'Arte International School of Physical Theatre","PrivacySuppressed"
"275","College of the Desert","PrivacySuppressed"
"276","Design Institute of San Diego","45000"
"277","Diablo Valley College","10500"
"278","Dominican University of California","27000"
"279","Dominican School of Philosophy & Theology","NULL"
"280","East Los Angeles College","10875"
"281","El Camino Community College District","PrivacySuppressed"
"282","Emperor's College of Traditional Oriental Medicine","PrivacySuppressed"
"283","Empire College","13655"
"284","Evergreen Valley College","11937"
"285","FIDM-Fashion Institute of Design & Merchandising-Los Angeles","14165"
"286","FIDM-Fashion Institute of Design & Merchandising-San Francisco","14165"
"287","Feather River Community College District","11375"
"288","Federico Beauty Institute","6272"
"289","Fielding Graduate University","PrivacySuppressed"
"290","Five Branches University","PrivacySuppressed"
"291","Redondo Beach Beauty College","PrivacySuppressed"
"292","Foothill College","10500"
"293","Franciscan School of Theology","NULL"
"294","Fredrick and Charles Beauty College","PrivacySuppressed"
"295","Fresno City College","4000"
"296","Fresno Pacific University","23219"
"297","Fuller Theological Seminary","PrivacySuppressed"
"298","Fullerton College","5125"
"299","Gavilan College","7156"
"300","Gemological Institute of America-Carlsbad","PrivacySuppressed"
"301","Glendale Community College","7875"
"302","Glendale Career College","9500"
"303","Golden Gate University-San Francisco","30625"
"304","Golden West College","9000"
"305","Graduate Theological Union","NULL"
"306","Grossmont College","8500"
"307","Salon Success Academy-Riverside","12554"
"308","Hartnell College","PrivacySuppressed"
"309","Harvey Mudd College","22089"
"310","Hilltop Beauty School","PrivacySuppressed"
"311","Holy Names University","24000"
"312","Pacifica Graduate Institute","PrivacySuppressed"
"313","Humboldt State University","17993"
"314","Humphreys University-Stockton and Modesto Campuses","33167"
"315","Imperial Valley College","PrivacySuppressed"
"316","Institute for Business and Technology","8152"
"317","Interior Designers Institute","24799"
"318","International School of Cosmetology","11860"
"319","Irvine Valley College","6500"
"320","Bellus Academy-El Cajon","7917"
"321","John F. Kennedy University","18055"
"322","American Jewish University","PrivacySuppressed"
"323","Reedley College","4000"
"324","Life Pacific University","21500"
"325","University of La Verne","24250"
"326","Laguna College of Art and Design","27000"
"327","Lake Tahoe Community College","PrivacySuppressed"
"328","Lancaster Beauty School","8500"
"329","Laney College","PrivacySuppressed"
"330","Lassen Community College","PrivacySuppressed"
"331","Life Chiropractic College West","PrivacySuppressed"
"332","Lincoln University","PrivacySuppressed"
"333","Southern California Seminary","PrivacySuppressed"
"334","La Sierra University","27000"
"335","Loma Linda University","20082"
"336","Long Beach City College","10885"
"337","Southern California University of Health Sciences","11800"
"338","Los Angeles Harbor College","6000"
"339","Los Angeles Pierce College","17372"
"340","Los Angeles Southwest College","10038"
"341","Los Angeles Trade Technical College","10500"
"342","Los Angeles Valley College","9375"
"343","The Master's University and Seminary","21000"
"344","Los Angeles City College","11762"
"345","Los Angeles County College of Nursing and Allied Health","10290"
"346","Los Angeles Mission College","PrivacySuppressed"
"347","Los Medanos College","11250"
"348","Loyola Marymount University","19500"
"349","Lu Ross Academy","6333"
"350","Lyle's College of Beauty","8556"
"351","Lyle's College of  Beauty","8556"
"352","Lytles Redwood Empire Beauty College Inc","9064"
"353","MTI College","8762"
"354","College of Marin","10375"
"355","Marymount California University","21500"
"356","Mendocino College","10500"
"357","Menlo College","23250"
"358","Merced College","PrivacySuppressed"
"359","Merritt College","14875"
"360","Mills College","22500"
"361","MiraCosta College","9000"
"362","Mission College","PrivacySuppressed"
"363","Modern Beauty Academy","10500"
"364","Modesto Junior College","PrivacySuppressed"
"365","Moler Barber College","13000"
"366","Middlebury Institute of International Studies at Monterey","13293"
"367","Monterey Peninsula College","PrivacySuppressed"
"368","Moorpark College","9500"
"369","Mt San Antonio College","6000"
"370","Mount Saint Mary's University","25000"
"371","Mt San Jacinto Community College District","PrivacySuppressed"
"372","Musicians Institute","9500"
"373","Napa Valley College","PrivacySuppressed"
"374","National Holistic Institute","9500"
"375","National University","26516"
"376","Naval Postgraduate School","NULL"
"377","Newschool of Architecture and Design","32985"
"378","Newberry School of Beauty","6033"
"379","North Adrian's College of Beauty Inc","9990"
"380","North-West College-Pomona","9500"
"381","North-West College-West Covina","9500"
"382","North-West College-Van Nuys","9498"
"383","Notre Dame de Namur University","25000"
"384","Occidental College","22336"
"385","Ohlone College","PrivacySuppressed"
"386","Orange Coast College","9000"
"387","Otis College of Art and Design","27000"
"388","Oxnard College","PrivacySuppressed"
