"","INSTNM","GRAD_DEBT_MDN"
"1265","Empire Beauty School-Chenoweth","11667"
"1266","Empire Beauty School-Elizabethtown","10667"
"1267","Empire Beauty School-Dixie","11250"
"1268","Empire Beauty School-Florence","13000"
"1269","Somerset Community College","12500"
"1270","Southeast Kentucky Community","8000"
"1271","The Southern Baptist Theological Seminary","PrivacySuppressed"
"1272","Spalding University","25000"
"1273","Sullivan University","20206"
"1274","Thomas More University","26923"
"1275","Transylvania University","27000"
"1276","Union College","25291"
"1277","Western Kentucky University","22500"
"1278","Central Louisiana Technical Community College","5500"
"1279","Ayers Career College","9049"
"1280","Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology","16196"
"1281","Baton Rouge School of Computers","PrivacySuppressed"
"1282","Bossier Parish Community College","15750"
"1283","Centenary College of Louisiana","27000"
"1284","Cloyd's Beauty School 1 Inc","PrivacySuppressed"
"1285","Crescent City Bartending School","9500"
"1286","D'Jay's Institute of Cosmetology and Esthiology","7000"
"1287","Delgado Community College","20437"
"1288","Avery James School of Cosmetology","6310"
"1289","Denham Springs Beauty School","9733"
"1290","Dillard University","31250"
"1291","Nunez Community College","10500"
"1292","Grambling State University","36750"
"1293","Guy's Shreveport Academy of Cosmetology Inc","9500"
"1294","ITI Technical College","15134"
"1295","John Jay Beauty College","PrivacySuppressed"
"1296","Louisiana State University Health Sciences Center-New Orleans","20000"
"1297","Louisiana State University-Alexandria","20500"
"1298","Louisiana State University and Agricultural & Mechanical College","20500"
"1299","Louisiana State University-Eunice","12567"
"1300","Louisiana State University-Shreveport","22250"
"1301","Aveda Arts & Sciences Institute-Baton Rouge","9833"
"1302","Aveda Arts & Sciences Institute-Lafayette","7916"
"1303","Louisiana Academy of Beauty","PrivacySuppressed"
"1304","Louisiana College","21825"
"1305","Opelousas School of Cosmetology","PrivacySuppressed"
"1306","Louisiana Tech University","22352"
"1307","Loyola University New Orleans","25792"
"1308","McNeese State University","22534"
"1309","University of New Orleans","17541"
"1310","New Orleans Baptist Theological Seminary","NULL"
"1311","Nicholls State University","22362"
"1312","University of Louisiana at Monroe","20751"
"1313","Northwest Louisiana Technical Community College","PrivacySuppressed"
"1314","Northwestern State University of Louisiana","24708"
"1315","University of Holy Cross","28375"
"1316","Franciscan Missionaries of Our Lady University","27312"
"1317","Pat Goins Benton Road Beauty School","6333"
"1318","Celebrity Stylist Beauty School","9833"
"1319","Pineville Beauty School","PrivacySuppressed"
"1320","Aveda Arts & Sciences Institute-Covington","7917"
"1321","Saint Joseph Seminary College","PrivacySuppressed"
"1322","LaSalle Tech","6333"
"1323","Fletcher Technical Community College","8875"
"1324","Remington College-Lafayette Campus","13910"
"1325","SOWELA Technical Community College","PrivacySuppressed"
"1326","Stevensons Academy of Hair Design","PrivacySuppressed"
"1327","Southeastern Louisiana University","21500"
"1328","Southern University and A & M College","30668"
"1329","Southern University at New Orleans","30918"
"1330","Southern University at Shreveport","18250"
"1331","University of Louisiana at Lafayette","22000"
"1332","Northshore Technical Community College","10500"
"1333","Tulane University of Louisiana","21250"
"1334","Xavier University of Louisiana","24000"
"1335","College of the Atlantic","24501"
"1336","Bates College","13978"
"1337","Beal University","17535"
"1338","Bowdoin College","18675"
"1339","Maine College of Health Professions","14750"
"1340","Central Maine Community College","12637"
"1341","Colby College","19862"
"1342","Eastern Maine Community College","11986"
"1343","Kennebec Valley Community College","12000"
"1344","The Landing School","PrivacySuppressed"
"1345","University of Maine at Augusta","21452"
"1346","University of Maine at Farmington","24499"
"1347","University of Maine at Fort Kent","21053"
"1348","University of Maine at Machias","NULL"
"1349","University of Maine","25127"
"1350","Maine Maritime Academy","27000"
"1351","University of Maine at Presque Isle","17189"
"1352","University of New England","26000"
"1353","Northern Maine Community College","10750"
"1354","Empire Beauty School-Maine","13000"
"1355","Maine College of Art","27000"
"1356","Saint Joseph's College of Maine","27000"
"1357","Spa Tech Institute-Westbrook","6333"
"1358","Southern Maine Community College","10500"
"1359","University of Southern Maine","19060"
"1360","Thomas College","24250"
"1361","Unity College","27000"
"1362","Washington County Community College","PrivacySuppressed"
"1363","Allegany College of Maryland","15250"
"1364","Anne Arundel Community College","8575"
"1365","Award Beauty School","11396"
"1366","Baltimore Studio of Hair Design","8428"
"1367","Baltimore City Community College","PrivacySuppressed"
"1368","University of Baltimore","22956"
"1369","Bowie State University","23000"
"1370","Capitol Technology University","22000"
"1371","Cecil College","9500"
"1372","College of Southern Maryland","9000"
"1373","Chesapeake College","PrivacySuppressed"
"1374","Washington Adventist University","30250"
"1375","Coppin State University","23500"
"1376","Delmarva Beauty Academy","13600"
"1377","North American Trade Schools","7000"
"1378","Frederick Community College","7000"
"1379","Frostburg State University","22250"
"1380","Garrett College","11885"
"1381","Goucher College","25306"
"1382","Hagerstown Community College","10750"
"1383","Harford Community College","9500"
"1384","Hood College","25000"
"1385","Howard Community College","10500"
"1386","Aveda Institute-Maryland","6333"
"1387","Johns Hopkins University","12750"
"1388","Lincoln College of Technology-Columbia","NULL"
"1389","Loyola University Maryland","27000"
"1390","University of Maryland Global Campus","20871"
"1391","University of Maryland Baltimore","15000"
"1392","University of Maryland-Baltimore County","19500"
"1393","University of Maryland-College Park","19500"
"1394","Maryland Institute College of Art","27000"
"1395","University of Maryland Eastern Shore","27000"
"1396","Fortis Institute-Towson","12139"
"1397","Montgomery Beauty School","9500"
"1398","Montgomery College","10000"
"1399","Morgan State University","27500"
"1400","Mount St. Mary's University","25000"
"1401","Ner Israel Rabbinical College","PrivacySuppressed"
"1402","Hair Academy","11952"
"1403","Notre Dame of Maryland University","22500"
"1404","Prince George's Community College","10500"
"1405","Robert Paul Academy of Cosmetology Arts & Sciences","9833"
"1406","Maryland Beauty Academy of Essex","8500"
"1407","Salisbury University","21500"
"1408","St. Mary's College of Maryland","22000"
"1409","St. John's College","27000"
"1410","Towson University","18750"
"1411","Maryland University of Integrative Health","PrivacySuppressed"
"1412","United States Naval Academy","NULL"
"1413","Stevenson University","27000"
"1414","Washington College","27000"
"1415","McDaniel College","25000"
"1416","Wor-Wic Community College","7613"
"1417","Hult International Business School","PrivacySuppressed"
"1418","American International College","27000"
"1419","Amherst College","13800"
"1420","Anna Maria College","25000"
"1421","Assabet Valley Regional Technical School","9500"
"1422","Assumption University","27000"
"1423","Babson College","22750"
"1424","Bancroft School of Massage Therapy","PrivacySuppressed"
"1425","Boston Baptist College","21074"
"1426","Bay Path University","24420"
"1427","Bay State College","25813"
"1428","Becker College","26500"
"1429","Bentley University","25000"
"1430","Berklee College of Music","25000"
"1431","Berkshire Community College","12000"
"1432","Empire Beauty School-Boston","11215"
"1433","Boston Architectural College","38739"
"1434","Boston Graduate School of Psychoanalysis Inc","PrivacySuppressed"
"1435","Boston College","18000"
"1436","Boston University","24848"
"1437","Brandeis University","25797"
"1438","Bridgewater State University","24505"
"1439","Bristol Community College","6950"
"1440","Signature Healthcare Brockton Hospital School of Nursing","20000"
"1441","Bunker Hill Community College","9450"
"1442","Cambridge College","22004"
"1443","Cape Cod Community College","11249"
"1444","Catherine Hinds Institute of Esthetics","6333"
"1445","Laboure College","25250"
"1446","Clark University","26000"
"1447","Conway School of Landscape Design","NULL"
"1448","Curry College","25487"
"1449","Lincoln Technical Institute-Somerville","10846"
"1450","Dean College","25000"
"1451","Diman Regional Technical Institute","9500"
"1452","National Aviation Academy of New England","20112"
"1453","Eastern Nazarene College","26000"
"1454","Emerson College","23250"
"1455","Emmanuel College","27000"
"1456","Endicott College","27000"
"1457","Rob Roy Academy-Fall River","9500"
"1458","Fisher College","25437"
"1459","Fitchburg State University","24687"
"1460","Framingham State University","25000"
"1461","Benjamin Franklin Institute of Technology","12000"
"1462","Gordon College","26310"
"1463","Gordon-Conwell Theological Seminary","PrivacySuppressed"
"1464","Greenfield Community College","9000"
"1465","Hampshire College","26000"
"1466","Harvard University","12665"
"1467","Hebrew College","PrivacySuppressed"
"1468","Hellenic College-Holy Cross Greek Orthodox School of Theology","PrivacySuppressed"
"1469","College of the Holy Cross","27000"
"1470","Holyoke Community College","7978"
"1471","Lasell University","26697"
"1472","Lawrence Memorial Hospital School of Nursing","20000"
"1473","Lesley University","21222"
"1474","Longy School of Music of Bard College","25910"
"1475","Lowell Academy Hairstyling Institute","7618"
"1476","University of Massachusetts-Lowell","24266"
"1477","University of Massachusetts-Amherst","23149"
"1478","University of Massachusetts-Boston","22987"
"1479","Massachusetts Bay Community College","6696"
"1480","MCPHS University","25000"
"1481","Massachusetts College of Art and Design","25581"
"1482","Massachusetts Institute of Technology","13418"
"1483","Massachusetts Maritime Academy","26000"
"1484","University of Massachusetts Medical School Worcester","PrivacySuppressed"
"1485","William James College","PrivacySuppressed"
"1486","Massachusetts School of Barbering","7915"
"1487","Massasoit Community College","9403"
"1488","Merrimack College","27000"
"1489","MGH Institute of Health Professions","25000"
"1490","Middlesex Community College","7813"
"1491","Montserrat College of Art","27000"
"1492","Mount Holyoke College","21486"
"1493","Mount Wachusett Community College","10284"
"1494","Rob Roy Academy-New Bedford","PrivacySuppressed"
"1495","The New England Conservatory of Music","25250"
"1496","New England College of Optometry","NULL"
"1497","New England Law-Boston","PrivacySuppressed"
"1498","Nichols College","27000"
"1499","Massachusetts College of Liberal Arts","23441"
"1500","North Bennet Street School","9500"
"1501","North Shore Community College","9000"
"1502","Northeastern University","24500"
"1503","Northern Essex Community College","9950"
"1504","College of Our Lady of the Elms","25000"
"1505","Pine Manor College","27000"
"1506","Pope St John XXIII National Seminary","NULL"
"1507","Quincy College","14000"
"1508","Quinsigamond Community College","15406"
"1509","Regis College","25250"
"1510","Roxbury Community College","PrivacySuppressed"
"1511","Saint John's Seminary","PrivacySuppressed"
"1512","Salem State University","25000"
"1513","Simmons University","25000"
"1514","Bard College at Simon's Rock","19500"
"1515","Smith College","19000"
"1516","Southeastern Technical Institute","6763"
"1517","Springfield College","26000"
"1518","Springfield Technical Community College","6373"
"1519","University of Massachusetts-Dartmouth","25500"
"1520","Stonehill College","25000"
"1521","Suffolk University","27000"
"1522","Rob Roy Academy-Taunton","PrivacySuppressed"
"1523","Tufts University","16750"
"1524","Wellesley College","10700"
"1525","Wentworth Institute of Technology","26000"
"1526","Western New England University","26000"
"1527","Westfield State University","23250"
"1528","Wheaton College","26816"
"1529","Williams College","13000"
"1530","Worcester Polytechnic Institute","27000"
"1531","Worcester State University","20000"
"1532","Adrian College","27000"
"1533","Albion College","27000"
"1534","Hillsdale Beauty College","PrivacySuppressed"
"1535","Northwestern Technological Institute","9500"
"1536","Alma College","27000"
"1537","Alpena Community College","10793"
"1538","Andrews University","26076"
"1539","Aquinas College","24250"
"1540","Baker College","26219"
"1541","Bay de Noc Community College","12438"
"1542","Bayshire Academy of Beauty Craft Inc","PrivacySuppressed"
"1543","Calvin University","23000"
"1544","Calvin Theological Seminary","PrivacySuppressed"
"1545","Carnegie Institute","10630"
"1546","Michigan School of Psychology","PrivacySuppressed"
"1547","Central Michigan University","27000"
"1548","Mott Community College","14750"
"1549","Empire Beauty School-Michigan","11215"
"1550","Cleary University","19792"
"1551","Concordia University-Ann Arbor","25478"
"1552","Cranbrook Academy of Art","PrivacySuppressed"
"1553","College for Creative Studies","26000"
"1554","Davenport University","26512"
"1555","David Pressley School of Cosmetology","6333"
"1556","Delta College","11000"
"1557","Detroit Business Institute-Downriver","PrivacySuppressed"
"1558","Michigan State University-College of Law","NULL"
"1559","MIAT College of Technology","13000"
"1560","University of Detroit Mercy","24468"
"1561","Dorsey School of Business-Madison Heights","13000"
"1562","Dorsey School of Business","13000"
"1563","Eastern Michigan University","25000"
"1564","Creative Hair School of Cosmetology","11760"
"1565","Ferris State University","21250"
"1566","Flint Institute of Barbering Inc","11650"
"1567","Glen Oaks Community College","11000"
"1568","Kettering University","28000"
"1569","Gogebic Community College","10480"
"1570","Grace Christian University","23449"
"1571","Cornerstone University","25125"
"1572","Grand Rapids Community College","9650"
"1573","Grand Valley State University","24918"
"1574","Great Lakes Christian College","21640"
"1575","Henry Ford College","15276"
"1576","Hillsdale College","NULL"
"1577","Hope College","26960"
"1578","Jackson College","15167"
"1579","Kalamazoo College","26103"
"1580","Kalamazoo Valley Community College","10226"
"1581","Kellogg Community College","17016"
"1582","Kirtland Community College","13000"
"1583","Michigan College of Beauty-Monroe","6333"
"1584","Lake Michigan College","10638"
"1585","Lake Superior State University","22500"
"1586","Lansing Community College","12396"
"1587","Lawrence Technological University","27000"
"1588","M J Murphy Beauty College of Mount Pleasant","PrivacySuppressed"
"1589","Macomb Community College","5858"
"1590","Madonna University","24500"
"1591","Rochester University","23753"
"1592","University of Michigan-Ann Arbor","18526"
"1593","The Michigan Barber School","PrivacySuppressed"
"1594","Michigan State University","23733"
"1595","Michigan Technological University","25500"
"1596","University of Michigan-Dearborn","22720"
"1597","University of Michigan-Flint","25240"
"1598","Mid Michigan College","12500"
"1599","Monroe County Community College","12127"
"1600","Montcalm Community College","15189"
"1601","Muskegon Community College","9384"
"1602","North Central Michigan College","11500"
"1603","Northern Michigan University","21260"
"1604","Northwestern Michigan College","12836"
"1605","Northwood University","20841"
"1606","Oakland Community College","9750"
"1607","Oakland University","23977"
"1608","Olivet College","27000"
"1609","Port Huron Cosmetology College","PrivacySuppressed"
"1610","Kuyper College","25000"
"1611","Ross Medical Education Center-Lansing","9500"
"1612","Ross Medical Education Center-Madison Heights","9500"
"1613","Ross Medical Education Center-Flint","9500"
"1614","Sacred Heart Major Seminary","PrivacySuppressed"
"1615","Saginaw Valley State University","25601"
"1616","Schoolcraft College","10500"
"1617","Siena Heights University","18750"
"1618","St Clair County Community College","11704"
"1619","Southwestern Michigan College","11075"
"1620","Specs Howard School of Media Arts","11333"
"1621","Spring Arbor University","27000"
"1622","Michigan Career and Technical Institute","PrivacySuppressed"
"1623","Finlandia University","21100"
"1624","Western Michigan University-Thomas M. Cooley Law School","PrivacySuppressed"
"1625","Twin City Beauty College","8269"
"1626","Walsh College","15625"
"1627","Washtenaw Community College","13091"
"1628","Wayne County Community College District","12250"
"1629","Wayne State University","21500"
"1630","West Shore Community College","7825"
"1631","Paul Mitchell the School-Grand Rapids","9177"
"1632","Western Michigan University","26000"
"1633","Western Theological Seminary","PrivacySuppressed"
"1634","Wright Beauty Academy","PrivacySuppressed"
"1635","Academy College","28556"
"1636","Alexandria Technical & Community College","12000"
"1637","American Indian OIC Inc","PrivacySuppressed"
"1638","Anoka Technical College","12000"
"1639","Anoka-Ramsey Community College","14250"
"1640","Augsburg University","25000"
"1641","Riverland Community College","12000"
"1642","Northwest Technical College","14133"
"1643","Bemidji State University","19500"
"1644","Bethany Lutheran College","24250"
"1645","Bethel University","22500"
"1646","Central Lakes College-Brainerd","10473"
"1647","Carleton College","17287"
"1648","Concordia College at Moorhead","26490"
"1649","Concordia University-Saint Paul","18194"
"1650","Dakota County Technical College","11000"
"1651","Martin Luther College","19975"
"1652","Lake Superior College","13000"
"1653","Cosmetology Careers Unlimited College of Hair Skin and Nails","PrivacySuppressed"
"1654","Minnesota State Community and Technical College","12000"
"1655","Minnesota West Community and Technical College","10900"
"1656","Gustavus Adolphus College","27000"
"1657","Hamline University","23500"
"1658","Hazelden Betty Ford Graduate School of Addiction Studies","PrivacySuppressed"
"1659","Hennepin Technical College","11713"
"1660","Hibbing Community College","12000"
"1661","Aveda Institute-Minneapolis","6333"
"1662","Inver Hills Community College","13321"
"1663","Itasca Community College","10839"
"1664","Luther Seminary","PrivacySuppressed"
"1665","Macalester College","22500"
"1666","South Central College","12000"
"1667","Minnesota State University-Mankato","21500"
"1668","Mayo Clinic College of Medicine and Science","12000"
"1669","Mesabi Range College","10283"
"1670","Metropolitan State University","17012"
"1671","University of Minnesota-Twin Cities","19500"
"1672","University of Minnesota-Crookston","19873"
"1673","Minneapolis College of Art and Design","26500"
"1674","Minneapolis Community and Technical College","18890"
"1675","Herzing University-Minneapolis","22052"
"1676","Minnesota School of Cosmetology-Woodbury Campus","7388"
"1677","University of Minnesota-Duluth","22514"
"1678","University of Minnesota-Morris","18768"
"1679","Model College of Hair Design","8274"
"1680","Minnesota State University Moorhead","20500"
"1681","North Hennepin Community College","15050"
"1682","Normandale Community College","12750"
"1683","North Central University","23154"
"1684","Northland Community and Technical College","12264"
"1685","University of Northwestern-St Paul","21413"
"1686","Northwestern Health Sciences University","7718"
"1687","Oak Hills Christian College","15250"
"1688","Pine Technical & Community College","12379"
"1689","Rainy River Community College","10170"
"1690","Rochester Community and Technical College","14968"
"1691","College of Saint Benedict","27000"
"1692","St Cloud Technical and Community College","12000"
"1693","Saint Cloud State University","21500"
"1694","Saint Johns University","27000"
"1695","Saint Mary's University of Minnesota","20832"
"1696","St Olaf College","24533"
"1697","Crown College","25000"
"1698","The College of Saint Scholastica","20000"
"1699","University of St Thomas","24201"
"1700","Empire Beauty School-Bloomington","12054"
"1701","St Catherine University","23788"
"1702","Rasmussen University-Minnesota","20000"
"1703","Saint Paul College","10975"
"1704","Southwest Minnesota State University","21180"
"1705","Summit Academy Opportunities Industrialization Center","PrivacySuppressed"
"1706","United Theological Seminary of the Twin Cities","NULL"
"1707","Vermilion Community College","12000"
"1708","Dunwoody College of Technology","16000"
"1709","Ridgewater College","12000"
"1710","Minnesota State College Southeast","12986"
"1711","Winona State University","22250"
"1712","Mitchell Hamline School of Law","PrivacySuppressed"
"1713","Century College","15750"
"1714","Alcorn State University","28180"
"1715","Belhaven University","27000"
"1716","Blue Mountain College","17400"
"1717","Chris Beauty College","PrivacySuppressed"
"1718","Coahoma Community College","PrivacySuppressed"
"1719","Copiah-Lincoln Community College","7500"
"1720","Delta Beauty College","PrivacySuppressed"
"1721","Delta State University","21132"
"1722","East Central Community College","5500"
"1723","East Mississippi Community College","8448"
"1724","Fosters Cosmetology College","PrivacySuppressed"
"1725","Academy of Hair Design-Grenada","6500"
"1726","Hinds Community College","9468"
"1727","Holmes Community College","9316"
"1728","Itawamba Community College","7981"
"1729","Jackson State University","29250"
"1730","Jones County Junior College","6901"
"1731","Meridian Community College","5500"
"1732","Millsaps College","27000"
"1733","Mississippi Delta Community College","PrivacySuppressed"
"1734","University of Mississippi","20335"
"1735","Mississippi University for Women","15000"
"1736","Mississippi Valley State University","30131"
"1737","Mississippi College","22500"
"1738","Mississippi College of Beauty Culture","9833"
"1739","Mississippi Gulf Coast Community College","9750"
"1740","Mississippi State University","22500"
"1741","Northeast Mississippi Community College","9233"
"1742","Northwest Mississippi Community College","6643"
"1743","Pearl River Community College","9000"
"1744","Rust College","25253"
"1745","Southeastern Baptist College","PrivacySuppressed"
"1746","Southwest Mississippi Community College","PrivacySuppressed"
"1747","University of Southern Mississippi","22000"
"1748","Magnolia College of Cosmetology","5333"
"1749","Tougaloo College","32100"
"1750","Vaughn Beauty College","NULL"
"1751","Wesley Biblical Seminary","PrivacySuppressed"
"1752","William Carey University","21000"
"1753","Aquinas Institute of Theology","PrivacySuppressed"
"1754","Avila University","25000"
"1755","Baptist Bible College","25068"
"1756","House of Heavilin Beauty College-Blue Springs","7917"
"1757","Cox College","20000"
"1758","Calvary University","19500"
"1759","Cape Girardeau Career and Technology Center","8750"
"1760","Central Christian College of the Bible","18058"
"1761","Central Methodist University-College of Liberal Arts and Sciences","16990"
"1762","University of Central Missouri","21500"
"1763","Grand River Technical School","PrivacySuppressed"
"1764","Cleveland University-Kansas City","12383"
"1765","Columbia College","24000"
"1766","Conception Seminary College","PrivacySuppressed"
"1767","Concordia Seminary","PrivacySuppressed"
"1768","Cottey College","21500"
"1769","Covenant Theological Seminary","PrivacySuppressed"
"1770","Crowder College","8900"
"1771","Culver-Stockton College","26000"
"1772","Drury University","20500"
"1773","East Central College","9625"
"1774","Eden Theological Seminary","PrivacySuppressed"
"1775","Elaine Steven Beauty College","10984"
"1776","Pinnacle Career Institute-South Kansas City","10243"
"1777","Evangel University","24000"
"1778","Fontbonne University","25000"
"1779","Four Rivers Career Center","PrivacySuppressed"
"1780","Ozarks Technical Community College","11250"
"1781","Hannibal-LaGrange University","18750"
"1782","Harris-Stowe State University","27655"
"1783","House of Heavilin Beauty College-Kansas City","PrivacySuppressed"
"1784","Summit Salon Academy Kansas City","11981"
"1785","Jefferson College","8640"
"1786","Paul Mitchell the School-Missouri Columbia","9500"
"1787","Barnes-Jewish College Goldfarb School of Nursing","16443"
"1788","Kansas City Art Institute","27000"
"1789","Kenrick Glennon Seminary","PrivacySuppressed"
"1790","A T Still University of Health Sciences","PrivacySuppressed"
"1791","Lake Career and Technical Center","PrivacySuppressed"
"1792","Lex La-Ray Technical Center","PrivacySuppressed"
"1793","Lincoln University","30375"
"1794","Lindenwood University","26327"
"1795","State Technical College of Missouri","10507"
"1796","Logan University","7783"
"1797","Metropolitan Community College-Kansas City","9500"
"1798","Lutheran School of Nursing","16781"
"1799","Maryville University of Saint Louis","23000"
"1800","Merrell University of Beauty Arts and Science","8400"
"1801","Midwest Institute","9500"
"1802","Midwestern Baptist Theological Seminary","16871"
"1803","Mineral Area College","9500"
"1804","Missouri Baptist University","22750"
"1805","Missouri Southern State University","19168"
"1806","Missouri Valley College","26000"
"1807","Missouri Western State University","21500"
"1808","University of Missouri-Columbia","21000"
"1809","University of Missouri-Kansas City","18751"
"1810","Missouri University of Science and Technology","23750"
"1811","University of Missouri-St Louis","20500"
"1812","Moberly Area Community College","10500"
"1813","Hillyard Technical Center","12347"
"1814","Nazarene Theological Seminary","PrivacySuppressed"
"1815","Neosho Beauty College","9792"
"1816","Truman State University","21500"
"1817","Northwest Missouri State University","21500"
"1818","Ozark Christian College","17919"
"1819","College of the Ozarks","PrivacySuppressed"
"1820","Park University","21397"
"1821","Stevens-The Institute of Business & Arts","26750"
"1822","Poplar Bluff Technical Career Center","PrivacySuppressed"
"1823","Ranken Technical College","12000"
"1824","Research College of Nursing","13270"
"1825","Rockhurst University","19500"
"1826","Rolla Technical Institute/Center","7602"
"1827","Saint Louis University","25000"
"1828","Salem College of Hairstyling","PrivacySuppressed"
"1829","American College of Hair Design Inc","PrivacySuppressed"
"1830","Saint Louis Christian College","PrivacySuppressed"
"1831","University of Health Sciences and Pharmacy in St. Louis","19500"
"1832","Saint Louis Community College","6500"
"1833","Saint Paul School of Theology","PrivacySuppressed"
"1834","Southwest Baptist University","21490"
"1835","Missouri State University-West Plains","10125"
"1836","Saint Luke's College of Health Sciences","NULL"
"1837","St Louis College of Health Careers-St Louis","12987"
"1838","State Fair Community College","10500"
"1839","Stephens College","27000"
"1840","Southeast Missouri State University","21614"
"1841","Missouri State University-Springfield","22412"
"1842","Three Rivers College","10500"
"1843","North Central Missouri College","10500"
"1844","Kansas City University of Medicine and Biosciences","PrivacySuppressed"
"1845","Washington University in St Louis","17000"
"1846","Webster University","22500"
"1847","Westminster College","27000"
"1848","William Jewell College","25000"
"1849","William Woods University","21500"
"1850","Academy of Cosmetology Inc","PrivacySuppressed"
"1851","Blackfeet Community College","PrivacySuppressed"
"1852","Butte Academy of Beauty Culture","5500"
"1853","Highlands College of Montana Tech","21500"
"1854","Crevier's Academy of Cosmetology Arts","9833"
"1855","Carroll College","25602"
"1856","Dawson Community College","8989"
"1857","Chief Dull Knife College","PrivacySuppressed"
"1858","Montana State University Billings","18538"
"1859","Flathead Valley Community College","10518"
"1860","Aaniiih Nakoda College","PrivacySuppressed"
"1861","Fort Peck Community College","PrivacySuppressed"
"1862","Great Falls College Montana State University","PrivacySuppressed"
"1863","University of Providence","20136"
"1864","Helena College University of Montana","16000"
"1865","Little Big Horn College","PrivacySuppressed"
"1866","Miles Community College","11966"
"1867","Montana Technological University","21500"
"1868","Montana State University","22995"
"1869","The University of Montana","21500"
"1870","Montana State University-Northern","17772"
"1871","Rocky Mountain College","26000"
"1872","Salish Kootenai College","13043"
"1873","The University of Montana-Western","21000"
"1874","Bellevue University","20865"
"1875","Clarkson College","25500"
"1876","Bryan College of Health Sciences","26060"
"1877","Central Community College","7250"
"1878","Chadron State College","19295"
"1879","College of Hair Design-Downtown","12000"
"1880","Concordia University-Nebraska","26000"
"1881","Creighton University","24369"
"1882","Doane University","25000"
"1883","Hastings College","26809"
"1884","CHI Health School of Radiologic Technology","PrivacySuppressed"
"1885","Joseph's College Cosmetology","12000"
"1886","University of Nebraska at Kearney","19250"
"1887","Nebraska Methodist College of Nursing & Allied Health","25000"
"1888","Metropolitan Community College Area","7891"
"1889","Mid-Plains Community College","8885"
"1890","Midland University","26000"
"1891","Nebraska Christian College of Hope International University","23750"
"1892","University of Nebraska at Omaha","19500"
"1893","Nebraska Indian Community College","PrivacySuppressed"
"1894","University of Nebraska Medical Center","15000"
"1895","Nebraska Wesleyan University","26966"
"1896","University of Nebraska-Lincoln","21362"
"1897","Northeast Community College","11000"
"1898","Peru State College","22119"
"1899","Summit Christian College","PrivacySuppressed"
"1900","College of Saint Mary","25500"
"1901","Southeast Community College Area","11009"
"1902","Union College","27000"
"1903","Nebraska College of Technical Agriculture","21362"
"1904","Wayne State College","20400"
"1905","Western Nebraska Community College","9203"
"1906","York College","24000"
"1907","Academy of Hair Design-Las Vegas","8539"
"1908","Career College of Northern Nevada","12998"
"1909","College of Southern Nevada","8500"
"1910","Las Vegas College","8444"
"1911","University of Nevada-Las Vegas","19018"
"1912","University of Nevada-Reno","19500"
"1913","Great Basin College","12654"
"1914","Sierra Nevada University","21500"
"1915","Truckee Meadows Community College","9763"
"1916","Western Nevada College","12000"
"1917","Colby-Sawyer College","27000"
"1918","Continental Academie of Hair Design-Hudson","PrivacySuppressed"
"1919","Dartmouth College","17000"
"1920","Empire Beauty School-Laconia","8389"
"1921","Empire Beauty School-Somersworth","7545"
"1922","Franklin Pierce University","27000"
"1923","University of New Hampshire-Franklin Pierce School of Law","26999"
"1924","Keene Beauty Academy","9833"
"1925","Magdalen College","25165"
"1926","Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School","9833"
"1927","New England College","26000"
"1928","New England School of Hair Design","PrivacySuppressed"
"1929","Southern New Hampshire University","20867"
"1930","New Hampshire Institute for Therapeutic Arts","5118"
"1931","University of New Hampshire-Main Campus","26999"
"1932","Keene State College","26000"
"1933","University of New Hampshire at Manchester","26999"
"1934","Plymouth State University","27000"
"1935","NHTI-Concord's Community College","14250"
"1936","White Mountains Community College","11475"
"1937","River Valley Community College","16464"
"1938","Lakes Region Community College","18013"
"1939","Manchester Community College","19000"
"1940","Nashua Community College","10999"
"1941","Great Bay Community College","14125"
"1942","Paul Mitchell the School-Portsmouth","PrivacySuppressed"
"1943","Rivier University","26200"
"1944","Saint Anselm College","27000"
"1945","St Joseph School of Nursing","15000"
"1946","Granite State College","16161"
"1947","Thomas More College of Liberal Arts","27000"
"1948","Eastwick College-Hackensack","14381"
"1949","Assumption College for Sisters","NULL"
"1950","Atlantic Cape Community College","9600"
"1951","Fortis Institute-Wayne","9500"
"1952","Bergen Community College","12000"
"1953","Berkeley College-Woodland Park","22316"
"1954","Beth Medrash Govoha","PrivacySuppressed"
"1955","Bloomfield College","27000"
"1956","Brookdale Community College","11000"
"1957","Rowan College at Burlington County","9950"
"1958","Caldwell University","25000"
"1959","Camden County College","11500"
"1960","Centenary University","23569"
"1961","Adult and Continuing Education-BCTS","3500"
"1962","Branford Hall Career Institute-Parsippany","6698"
"1963","Lincoln Technical Institute-Iselin","10846"
"1964","American Institute-Clifton","12074"
"1965","County College of Morris","9250"
"1966","Cumberland County College","NULL"
"1967","Divers Academy International","PrivacySuppressed"
"1968","Drew University","26222"
"1969","Lincoln Technical Institute-South Plainfield","11730"
"1970","Essex County College","PrivacySuppressed"
"1971","Empire Beauty School-Union","13000"
"1972","Fairleigh Dickinson University-Metropolitan Campus","25000"
"1973","Felician University","25591"
"1974","Fairleigh Dickinson University-Florham Campus","25000"
"1975","Hohokus School of Trade and Technical Sciences","7600"
"1976","Georgian Court University","21250"
